username,display_name,bio,tags,is_active,created_at,location,profile_image_url,niche,followers_count,engagement_rate,average_rate
poojadhingra,Pooja Dhingra,Pastry chef & entrepreneur (Le15 Patisserie founder),"{food, pastry}",t,2021-01-25 12:00:00,"Mumbai, India",https://randomuser.me/api/portraits/women/7.jpg,Food,7M,4.00%,"₹200,000"
masterchefshiprakhanna,Shipra Khanna,Celebrity chef (MasterChef India winner) & author,"{food, chef}",t,2020-05-14 16:20:30,India,https://randomuser.me/api/portraits/men/7.jpg,Food,6.2M,4.50%,"₹180,000"
vikaskhannagroup,Vikas Khanna,Michelin-star chef & restaurateur (global presence),"{food, gourmet}",t,2022-03-11 11:11:11,India,https://randomuser.me/api/portraits/women/8.jpg,Food,5.4M,3.90%,"₹150,000"
ranveer.brar,Ranveer Brar,"Chef, author & TV host known as ""The Food Sufi""","{food, television}",t,2021-08-08 20:08:08,India,https://randomuser.me/api/portraits/men/8.jpg,Food,4.4M,4.20%,"₹160,000"
chefkunal,Kunal Kapur,Celebrity chef & restaurateur from MasterChef India,"{food, cooking}",t,2023-02-02 02:02:02,India,https://randomuser.me/api/portraits/women/9.jpg,Food,3.8M,4.10%,"₹150,000"
shivesh17,Shivesh Bhatia,Home baker & cookbook author (Forbes 30 Under 30 Asia),"{food, baking}",t,2022-10-10 10:10:10,"New Delhi, India",https://randomuser.me/api/portraits/men/9.jpg,Food,3.4M,3.80%,"₹140,000"
meghnasfoodmagic,Meghna Reddy,Food vlogger & recipe creator (YouTube channel host),"{food, vlogging}",t,2023-06-06 06:06:06,"Mumbai, India",https://randomuser.me/api/portraits/women/10.jpg,Food,3M,4.50%,"₹130,000"
indian_bawarchi,Eshaan Nagpal,Humorous cooking videos creator (Indian Bawarchi),"{food, comedy}",t,2022-09-09 09:09:09,India,https://randomuser.me/api/portraits/men/10.jpg,Food,2.9M,4.70%,"₹120,000"
masterchefpankajbhadouria,Pankaj Bhadouria,First MasterChef India winner; TV host & food advocate,"{food, cooking}",t,2021-05-15 10:20:30,India,https://randomuser.me/api/portraits/women/11.jpg,Food,2.5M,4.30%,"₹110,000"
chahat_anand,Chahat Anand,Travel & food blogger from Bangalore,"{food, travel}",t,2021-03-03 13:13:13,"Bangalore, India",https://randomuser.me/api/portraits/men/11.jpg,Food,2.3M,4.60%,"₹100,000"
foodie_incarnate,Amar Sirohi,Founder of a viral vegetarian food page,"{food, vegetarian}",t,2022-12-12 12:12:12,"New Delhi, India",https://randomuser.me/api/portraits/women/12.jpg,Food,2.3M,5.00%,"₹100,000"
sanjeevkapoor,Sanjeev Kapoor,Celebrity chef & entrepreneur; author of 150+ cookbooks,"{food, chef}",t,2023-04-04 14:14:14,India,https://randomuser.me/api/portraits/men/12.jpg,Food,2.1M,3.80%,"₹95,000"
spoonsofdilli,Aman Sureka,Content creator known for creative food recipe videos,"{food, videography}",t,2021-07-07 17:17:17,India,https://randomuser.me/api/portraits/women/13.jpg,Food,2.1M,4.20%,"₹95,000"
nehadeepakshah,Neha Deepak Shah,Home-cook & MasterChef contestant; travels for food,"{food, travel}",t,2022-02-02 11:11:11,India,https://randomuser.me/api/portraits/men/13.jpg,Food,2.1M,4.40%,"₹95,000"
kabitaskitchen,Kabita Singh,Mum sharing traditional Indian recipes from Pune kitchen,"{food, homemaking}",t,2021-01-01 08:08:08,"Pune, India",https://randomuser.me/api/portraits/women/14.jpg,Food,1.8M,4.80%,"₹90,000"
saranshgoila,Saransh Goila,Innovative chef redefining Indian cuisine,"{food, chef}",t,2022-05-05 09:09:00,India,https://randomuser.me/api/portraits/men/14.jpg,Food,1.7M,4.60%,"₹85,000"
neeraj____chopra,Neeraj Chopra,Olympic javelin champion & sports influencer,"{sports, fitness}",t,2024-08-08 16:16:16,"Haryana, India",https://randomuser.me/api/portraits/women/15.jpg,Sports,8.4M,6.60%,"₹200,000"
theshefali_thakur10,Shefali Thakur,TV personality & fitness influencer (Dance & Travel),"{fitness, dance}",t,2023-06-06 18:18:18,India,https://randomuser.me/api/portraits/men/16.jpg,Fitness,1.2M,5.50%,"₹75,000"
vikram_official,Vikram Kumar,Model & fitness trainer; Mr. India 2019,"{fitness, modeling}",t,2021-12-12 19:19:19,India,https://randomuser.me/api/portraits/women/16.jpg,Fitness,1.1M,6.10%,"₹70,000"
abhii_shekk,Abhi Shekhar Shekh,Bodybuilder (Olympia amateur) & fitness mentor,"{fitness, bodybuilding}",t,2022-10-10 20:20:20,"Kolkata, India",https://randomuser.me/api/portraits/men/17.jpg,Fitness,1.1M,25.30%,"₹70,000"
fitgirl_08,Fitgirl,"Athlete & fitness trainer, promoting health & workouts","{fitness, lifestyle}",t,2020-11-11 21:21:21,India,https://randomuser.me/api/portraits/women/17.jpg,Fitness,1.1M,9.10%,"₹70,000"
apoorvaalex,Apoorva Alex,"Fitness influencer & fashion model, champion bodybuilder","{fitness, modeling}",t,2021-04-04 14:14:14,"Mumbai, India",https://randomuser.me/api/portraits/men/18.jpg,Fitness,750K,12.40%,"₹40,000"
bajrangpunia60,Bajrang Punia,Wrestler & fitness icon; World Champ & Olympian,"{sports, wrestling}",t,2023-05-05 15:15:15,"Haryana, India",https://randomuser.me/api/portraits/women/18.jpg,Sports,717K,9.10%,"₹40,000"
umangkatyal,Umang Katyal,Distance runner & athletic influencer from Lucknow,"{fitness, running}",t,2022-09-09 23:23:23,"Lucknow, India",https://randomuser.me/api/portraits/men/19.jpg,Fitness,618K,9.90%,"₹35,000"
technicalguruji,Gaurav Chaudhary,YouTuber sharing tech gadget reviews; engineer by education,"{tech, gadgets}",t,2024-02-14 12:12:12,"Dubai, UAE",https://randomuser.me/api/portraits/women/19.jpg,Tech,6.1M,4.00%,"₹180,000"
techburner,Shlok Srivastava,Tech content creator (smartphones & gadgets),"{tech, gadgets}",t,2021-08-08 08:08:08,India,https://randomuser.me/api/portraits/men/20.jpg,Tech,4.6M,4.20%,"₹150,000"
techplusgadgets,Naman Deshmukh,Tech reviewer; Forbes100 creator focusing on gadgets,"{tech, reviews}",t,2020-03-03 03:03:03,India,https://randomuser.me/api/portraits/women/20.jpg,Tech,3.6M,4.50%,"₹130,000"
beebomco,Beebom,Tech media site sharing news & gadget tutorials,"{tech, media}",t,2022-06-06 06:06:06,India,https://randomuser.me/api/portraits/men/21.jpg,Tech,3.3M,3.80%,"₹120,000"
tech_iela,Jai Arora,TechSimplified; making tech accessible through short videos,"{tech, education}",t,2023-11-11 11:11:11,India,https://randomuser.me/api/portraits/women/21.jpg,Tech,3.4M,4.10%,"₹130,000"
manojsaru,Manoj Saru,Tech blogger (@TechnologyGyan) known for quick gadget reviews,"{tech, blogging}",t,2021-10-10 10:10:10,India,https://randomuser.me/api/portraits/men/22.jpg,Tech,2.1M,3.90%,"₹100,000"
therajivmakhni,Rajiv Makhni,"Tech journalist ('AllTechNoBS'), gadget specialist","{tech, journalism}",t,2023-09-09 09:09:09,"Delhi, India",https://randomuser.me/api/portraits/women/22.jpg,Tech,2.0M,4.20%,"₹95,000"
trakintech,Arun Prabhudesai,"Founder of TrakinTech, major tech YouTuber in India","{tech, YouTube}",t,2022-04-04 04:04:04,India,https://randomuser.me/api/portraits/men/23.jpg,Tech,1.4M,4.50%,"₹80,000"
technical_sapien,Ashutosh Pratap Singh,Content creator simplifying tech & AI; promotes tech careers,"{tech, AI}",t,2021-12-12 12:12:12,India,https://randomuser.me/api/portraits/women/23.jpg,Tech,1.2M,4.00%,"₹75,000"
itz_mohit_verma,Mohit Verma,Engineer-turned creator covering tech & education,"{tech, education}",t,2023-05-05 05:05:05,India,https://randomuser.me/api/portraits/men/24.jpg,Tech,1.0M,4.10%,"₹70,000"
physicswallah,Alakh Pandey,Founder of Physics Wallah; popular IIT/NEET educator,"{education, science}",t,2022-02-14 14:14:14,"Prayagraj, India",https://randomuser.me/api/portraits/women/24.jpg,Education,4M,7.00%,"₹100,000"
dhruv_rathee,Dhruv Rathee,YouTube educator on social/political issues (25M subs),"{education, politics}",t,2021-01-01 13:13:13,Germany,https://randomuser.me/api/portraits/men/25.jpg,Education,14M,6.00%,"₹200,000"
vivek_bindra,Dr. Vivek Bindra,Business coach & motivational speaker; founder of Bada Business,"{education, business}",t,2020-12-12 12:12:12,"Noida, India",https://randomuser.me/api/portraits/women/25.jpg,Education,3.6M,5.50%,"₹120,000"
